paramter_names,parameter_values
k1_1f,6.67E-04
k1_1r,1.00E-02
k1_2f,4.00E-06
k1_2r,1.00E-02
kcat1_1,1.92E-01
k1_3f,4.00E-04
k1_3r,1.00E-02
kcat1_2,1.55E-01
k2_1f,1.33E-03
k2_1r,8.00E-02
k2_2f,1.34E+03
k2_2r,1.00E-02
k2_3f,5.43E-04
k2_3r,2.17E-02
k2_4f,1.34E+03
k2_4r,1.00E-02
k3_1f,2.00E-03
k3_1r,8.00E-02
k3_2f,1.34E+03
k3_2r,1.00E-02
k3_3f,4.34E-03
k3_3r,2.17E-02
k3_4f,3.09E-01
k3_4r,1.00E-02
k3_5f,1.55E+00
k3_5r,1.00E-02
kcat3,3.13E+00
k4_1f,7.93E-03
k4_1r,7.93E-02
k4_2f,1.28E-03
k4_2r,2.17E-02
kcat4,5.90E-01
k5_1f,3.88E-04
k5_1r,2.17E-02
kcat5,2.72E-01
k5_2r,1.09E+00
k6_1f,3.97E-03
k6_1r,7.93E-02
k6_2f,1.09E-03
k6_2r,2.17E-02
kcat6,4.00E+00
k7_1f,4.34E-03
k7_1r,2.17E-02
kcat7,1.08E+02
k8_1f,1.55E-03
k8_1r,2.17E-02
k8_2f,1.34E+03
k8_2r,1.00E-02
k8_3f,2.65E-03
k8_3r,2.17E-02
kcat8,3.13E+00
k9_1f,3.88E-04
k9_1r,2.17E-02
kcat9,2.72E-01
k9_2r,1.09E+00
k10_1f,1.55E-03
k10_1r,2.17E-02
k10_2f,1.34E+03
k10_2r,1.00E-02
k10_3f,2.65E-03
k10_3r,2.17E-02
kcat10,2.14E+00
